Name,Address,Type,Description,Website,City,Services,Phone
Victim Services at Surrey Police,"14355 � 57th Ave, Surrey, BC V3X 1A9",Police Victim Support,"Support & emotional help, info through criminal justice system, court prep, referrals.",https://www.surreypolice.ca/victim-services,Surrey,"Victim support, court assistance, emotional aid",604-599-7600
VictimLinkBC,Not avaialbe,Provincial Victim Support,"Province-wide directory of victim services programs, crisis support, info/referral phone/text line.",https://www.policevictimservices.bc.ca/need-help,BC-wide,"Directory, crisis support, referrals",1-800-563-0808
Burnaby RCMP Victim Services,"6355 Deer Lake Ave, Burnaby, BC V5G 2J2",Police Victim Support,"Crisis intervention, free support for people impacted by crime or trauma.",https://rcmp.ca/en/bc/burnaby/community-services-programs/victim-services,Burnaby,"Crisis intervention, emotional support",604 646-9700
Surrey Women's Centre,"10075 Whalley Boulevard, Surrey, BC V3T 4G1",Community Support,Community-based victim services for sexual assault and relationship violence; advocacy and court accompaniment.,https://bc.211.ca/result/community-based-victim-services-surrey-9492911,Surrey,"Sexual assault support, advocacy, legal aid referrals",604-583-1295
Love In Action (LIA) – Burnaby,,Counselling Services,Counselling and healing for survivors of abuse and violence.,https://lialoveinaction.ca,Burnaby,"Counselling, emotional recovery, trauma support",
BC Society for Male Survivors of Sexual Abuse,,Specialized Victim Services,Support services for male survivors including info about legal options and court accompaniment.,https://bc-malesurvivors.com/about-us/contact-us,Vancouver,"Male survivor support, counselling, advocacy",604-682-6482
Rape Victims Support Network (AssaultCare.ca),,Community Support,Counselling and support for sexual assault victims in the Vancouver area.,https://assaultcare.ca,Vancouver,"Counselling, trauma support, advocacy",604-545-0834
VictimLinkBC,,Crisis Hotline,"24/7 multilingual help line for victims of crime and abuse, with referrals and crisis support.",https://www.policevictimservices.bc.ca/need-help,BC-wide,"Hotline, referrals, crisis support",1-800-563-0808
Crime Victim Assistance Program,,Government Support,"Financial, counselling, and other support for victims of violent crime.",https://www.surreypolice.ca/victim-services,BC-wide,"Financial aid, counselling, legal navigation",1-866-660-3888
Surrey Women’s Centre (Shelters),,Safe Housing,Transition houses and emergency shelter resources for victims of violence.,https://surreywomenscentre.ca/resources,Surrey,"Safe housing, transition support, advocacy",604-583-1295
