Name,Type,Description,Website,City,Services
Victim Services – Surrey Police,Police Victim Support,"Support & emotional help, info through criminal justice system, court prep, referrals.",https://www.surreypolice.ca/victim-services,Surrey,"Victim support, court assistance, emotional aid"
Police Victim Services of BC,Provincial Victim Support,"Province-wide directory of victim services programs, crisis support, info/referral phone/text line.",https://www.policevictimservices.bc.ca/need-help,BC-wide,"Directory, crisis support, referrals"
Burnaby RCMP Victim Services,Police Victim Support,"Crisis intervention, free support for people impacted by crime or trauma.",https://rcmp.ca/en/bc/burnaby/community-services-programs/victim-services,Burnaby,"Crisis intervention, emotional support"
Surrey Women’s Centre,Community Support,Community-based victim services for sexual assault and relationship violence; advocacy and court accompaniment.,https://bc.211.ca/result/community-based-victim-services-surrey-9492911,Surrey,"Sexual assault support, advocacy, legal aid referrals"
Love In Action (LIA) – Burnaby,Counselling Services,Counselling and healing for survivors of abuse and violence.,https://lialoveinaction.ca,Burnaby,"Counselling, emotional recovery, trauma support"
BC Society for Male Survivors of Sexual Abuse,Specialized Victim Services,Support services for male survivors including info about legal options and court accompaniment.,https://bc-malesurvivors.com/about-us/contact-us,Vancouver,"Male survivor support, counselling, advocacy"
Rape Victims Support Network (AssaultCare.ca),Community Support,Counselling and support for sexual assault victims in the Vancouver area.,https://assaultcare.ca,Vancouver,"Counselling, trauma support, advocacy"
VictimLinkBC,Crisis Hotline,"24/7 multilingual help line for victims of crime and abuse, with referrals and crisis support.",https://www.policevictimservices.bc.ca/need-help,BC-wide,"Hotline, referrals, crisis support"
Crime Victim Assistance Program,Government Support,"Financial, counselling, and other support for victims of violent crime.",https://www.surreypolice.ca/victim-services,BC-wide,"Financial aid, counselling, legal navigation"
Surrey Women’s Centre (Shelters),Safe Housing,Transition houses and emergency shelter resources for victims of violence.,https://surreywomenscentre.ca/resources,Surrey,"Safe housing, transition support, advocacy"
